label,youtube_id,time_start,time_end,split
juggling balls,gOVj0tjVlb0,4,14,train
playing drums,GJ3wily-YIM,86,96,train
juggling balls,xwlkB2srFjY,72,82,train
extinguishing fire,xQEDVRNkTcQ,1,11,train
high jump,1A0VmS_vGP8,11,21,train
juggling balls,q_nJOtiGGD4,3,13,train
bartending,gJyY6JEI_yY,88,98,train
triple jump,fkxMYAzOWxc,2,12,train
planting trees,x4YhIxh_RvI,151,161,train
shooting goal (soccer),Xgy9LycP9jg,33,43,train
shooting goal (soccer),RVjgGotfbxM,3,13,train
juggling balls,ZE2UouuGzFI,1,11,train
extinguishing fire,DZj8lv0Rk2o,1178,1188,train
playing drums,DZrJe1zAhoo,0,10,train
juggling balls,cQ1_L_z9ASs,4,14,train
bartending,rKMcL74H9Y4,38,48,train
planting trees,vl8MISduHKs,225,235,train
playing drums,KUsFndfDYZc,37,47,train
high jump,iLiKDk56Nb8,2,12,train
triple jump,HolNe88Ejb0,4,14,train
juggling balls,q8mDGcT1QCY,54,64,train
arm wrestling,ZLJG8PzjZPE,35,45,train
playing drums,cRdzdizYoDo,44,54,train
playing drums,hGdm14xANBY,127,137,train
juggling balls,wkVU4KyWS4k,25,35,train
bartending,KDpsfZMULuU,268,278,train
high jump,ZcjIzyzMPXQ,36,46,train
arm wrestling,Oy_-KQUrkX0,12,22,train
planting trees,pbIm-gleNfs,2,12,train
juggling balls,OFQSEUGKy7M,711,721,train
triple jump,OJE5EvB0VfQ,39,49,train
high jump,jfapKp2WeTM,1,11,train
ironing,QQ-eEhm6vN4,360,370,train
bartending,qiTL4ecAqe8,23,33,train
bartending,uai-6pzNI6c,301,311,train
extinguishing fire,Np9VEDWw_CI,91,101,train
triple jump,CRwkHsdtteg,8,18,train
extinguishing fire,6wnC8Fv2lVs,16,26,train
playing drums,Q5OlKtd_tN8,114,124,train
high jump,wNgXkEBFkfY,1,11,train
ironing,chIaTW7kPdw,112,122,validate
planting trees,T2FU1QWCb8U,170,180,validate
playing drums,8PayioXpbbA,79,89,validate
playing drums,hJXBf1fs8rM,14,24,validate
high jump,oS5lChx2xkQ,3,13,validate
bartending,spTevrh1tMI,15,25,validate
high jump,Cl55jmy9OHo,13,23,validate
high jump,auh0jIYhpPs,1,11,validate
playing drums,MUg_F0sB9T0,208,218,validate
ironing,XoCvj2IbVGE,52,62,validate
planting trees,LQa0E8VlU3Q,16,26,validate
planting trees,Mt1HKgfSEQE,47,57,validate
ironing,95b-D4ZQMT8,7,17,validate
bartending,cQkcKw4Ew-k,317,327,validate
playing drums,VIeRDum9wVo,0,10,validate
triple jump,mL2rBtRCAf0,2,12,validate
planting trees,qDMKH1fGGDw,87,97,validate
arm wrestling,C4lCVBZ3ux0,28,38,validate
high jump,HdyaBcmln2c,20,30,validate
extinguishing fire,HmsDgBNq4oM,42,52,validate
shooting goal (soccer),4y2RzIION0c,67,77,test
juggling balls,GFlvWkqKQLk,4,14,test
arm wrestling,ZsuHquRO9NA,32,42,test
shooting goal (soccer),BJUDZdqrcLo,17,27,test
planting trees,KqeGqkt-XMI,140,150,test
ironing,7OxDw4pJukQ,26,36,test
playing drums,PUNaQEe7hr4,26,36,test
shooting goal (soccer),NZ3gzWiE0C8,42,52,test
triple jump,DxxNSZmJnK0,14,24,test
juggling balls,OXShSSVBQdc,57,67,test
playing drums,x6EUhPHJWUI,18,28,test
playing drums,tJMkGNbt0tU,129,139,test
arm wrestling,guwRHNIuHUY,370,380,test
extinguishing fire,EDQ3z9nrlWk,534,544,test
playing drums,q3-S2tg4ULw,48,58,test
shooting goal (soccer),fv36OyzU9Sc,17,27,test
planting trees,hcfcafipUgo,39,49,test
planting trees,sQcS4GjdTHo,32,42,test
shooting goal (soccer),RE1EKKqfJZE,16,26,test
planting trees,mPVafOF3l9k,10,20,test
